Analyzed file:	C:\Users\Medivh\Desktop\640na480MEGa.mp4
Width frame: 640
Height frame: 480
Frame ¹	0 ----------------------
Object's on frame in myPersons:	0
Frame ¹	1 ----------------------
Object's on frame in myPersons:	0
Frame ¹	2 ----------------------
Object's on frame in myPersons:	0
Frame ¹	3 ----------------------
Object's on frame in myPersons:	0
Frame ¹	4 ----------------------
Object's on frame in myPersons:	0
Frame ¹	5 ----------------------
Object's on frame in myPersons:	0
Frame ¹	6 ----------------------
Object's on frame in myPersons:	0
Frame ¹	7 ----------------------
Object's on frame in myPersons:	0
Frame ¹	8 ----------------------
Object's on frame in myPersons:	0
Frame ¹	9 ----------------------
Object's on frame in myPersons:	0
Frame ¹	10 ----------------------
Object's on frame in myPersons:	0
Frame ¹	11 ----------------------
Object's on frame in myPersons:	0
Frame ¹	12 ----------------------
Object's on frame in myPersons:	0
Frame ¹	13 ----------------------
Object's on frame in myPersons:	0
Frame ¹	14 ----------------------
Object's on frame in myPersons:	0
Frame ¹	15 ----------------------
Object's on frame in myPersons:	0
Frame ¹	16 ----------------------
Object's on frame in myPersons:	0
Frame ¹	17 ----------------------
Object's on frame in myPersons:	0
Frame ¹	18 ----------------------
Object's on frame in myPersons:	0
Frame ¹	19 ----------------------
Object's on frame in myPersons:	0
Frame ¹	20 ----------------------
Object's on frame in myPersons:	0
Frame ¹	21 ----------------------
Object's on frame in myPersons:	0
Frame ¹	22 ----------------------
Object's on frame in myPersons:	0
Frame ¹	23 ----------------------
Object's on frame in myPersons:	0
Frame ¹	24 ----------------------
Object's on frame in myPersons:	0
Frame ¹	25 ----------------------
Object's on frame in myPersons:	0
Frame ¹	26 ----------------------
Object's on frame in myPersons:	0
Frame ¹	27 ----------------------
Object's on frame in myPersons:	0
Frame ¹	28 ----------------------
Object's on frame in myPersons:	0
Frame ¹	29 ----------------------
Object's on frame in myPersons:	0
Frame ¹	30 ----------------------
Object's on frame in myPersons:	0
Frame ¹	31 ----------------------
Object's on frame in myPersons:	0
Frame ¹	32 ----------------------
Object's on frame in myPersons:	0
Frame ¹	33 ----------------------
Object's on frame in myPersons:	0
Frame ¹	34 ----------------------
Object's on frame in myPersons:	0
Frame ¹	35 ----------------------
Object's on frame in myPersons:	0
Frame ¹	36 ----------------------
Object's on frame in myPersons:	0
Frame ¹	37 ----------------------
Object's on frame in myPersons:	0
Frame ¹	38 ----------------------
Object's on frame in myPersons:	0
Frame ¹	39 ----------------------
Object's on frame in myPersons:	0
Frame ¹	40 ----------------------
Object's on frame in myPersons:	0
Frame ¹	41 ----------------------
Object's on frame in myPersons:	0
Frame ¹	42 ----------------------
Object's on frame in myPersons:	0
Frame ¹	43 ----------------------
Object's on frame in myPersons:	0
Frame ¹	44 ----------------------
Object's on frame in myPersons:	0
Frame ¹	45 ----------------------
Object's on frame in myPersons:	0
Frame ¹	46 ----------------------
Object's on frame in myPersons:	0
Frame ¹	47 ----------------------
Object's on frame in myPersons:	0
Frame ¹	48 ----------------------
Object's on frame in myPersons:	0
Frame ¹	49 ----------------------
Object's on frame in myPersons:	0
Frame ¹	50 ----------------------
Object's on frame in myPersons:	0
Frame ¹	51 ----------------------
Object's on frame in myPersons:	0
Frame ¹	52 ----------------------
Object's on frame in myPersons:	0
Frame ¹	53 ----------------------
Object's on frame in myPersons:	0
Frame ¹	54 ----------------------
Object's on frame in myPersons:	0
Frame ¹	55 ----------------------
Object's on frame in myPersons:	0
Frame ¹	56 ----------------------
Object's on frame in myPersons:	0
Frame ¹	57 ----------------------
Object's on frame in myPersons:	0
Frame ¹	58 ----------------------
Object's on frame in myPersons:	0
Frame ¹	59 ----------------------
Object's on frame in myPersons:	0
Frame ¹	60 ----------------------
Object's on frame in myPersons:	0
Frame ¹	61 ----------------------
Object's on frame in myPersons:	0
Frame ¹	62 ----------------------
Object's on frame in myPersons:	0
Frame ¹	63 ----------------------
Object's on frame in myPersons:	0
Frame ¹	64 ----------------------
Object's on frame in myPersons:	0
Frame ¹	65 ----------------------
Object's on frame in myPersons:	0
Frame ¹	66 ----------------------
Object's on frame in myPersons:	0
Frame ¹	67 ----------------------
Object's on frame in myPersons:	0
Frame ¹	68 ----------------------
Object's on frame in myPersons:	0
Frame ¹	69 ----------------------
Object's on frame in myPersons:	0
Frame ¹	70 ----------------------
Object's on frame in myPersons:	0
Frame ¹	71 ----------------------
Object's on frame in myPersons:	0
Frame ¹	72 ----------------------
Object's on frame in myPersons:	0
Frame ¹	73 ----------------------
Object's on frame in myPersons:	0
Frame ¹	74 ----------------------
Object's on frame in myPersons:	0
Frame ¹	75 ----------------------
Object's on frame in myPersons:	0
Frame ¹	76 ----------------------
Object's on frame in myPersons:	0
Frame ¹	77 ----------------------
Object's on frame in myPersons:	0
Frame ¹	78 ----------------------
Object's on frame in myPersons:	0
Frame ¹	79 ----------------------
Object's on frame in myPersons:	0
Frame ¹	80 ----------------------
Object's on frame in myPersons:	0
Frame ¹	81 ----------------------
Object's on frame in myPersons:	0
Frame ¹	82 ----------------------
Object's on frame in myPersons:	0
Frame ¹	83 ----------------------
Object's on frame in myPersons:	0
Frame ¹	84 ----------------------
Object's on frame in myPersons:	0
Frame ¹	85 ----------------------
Object's on frame in myPersons:	0
Frame ¹	86 ----------------------
Object's on frame in myPersons:	0
Frame ¹	87 ----------------------
Object's on frame in myPersons:	0
Frame ¹	88 ----------------------
Object's on frame in myPersons:	0
Frame ¹	89 ----------------------
Object's on frame in myPersons:	0
Frame ¹	90 ----------------------
Object's on frame in myPersons:	0
Frame ¹	91 ----------------------
Object's on frame in myPersons:	0
Frame ¹	92 ----------------------
Object's on frame in myPersons:	0
Frame ¹	93 ----------------------
Object's on frame in myPersons:	0
Frame ¹	94 ----------------------
Object's on frame in myPersons:	0
Frame ¹	95 ----------------------
Object's on frame in myPersons:	0
Frame ¹	96 ----------------------
Object's on frame in myPersons:	0
Frame ¹	97 ----------------------
Object's on frame in myPersons:	0
Frame ¹	98 ----------------------
Object's on frame in myPersons:	0
Frame ¹	99 ----------------------
Object's on frame in myPersons:	0
Frame ¹	100 ----------------------
Object's on frame in myPersons:	0
Frame ¹	101 ----------------------
Object's on frame in myPersons:	0
Frame ¹	102 ----------------------
Object's on frame in myPersons:	0
Frame ¹	103 ----------------------
Object's on frame in myPersons:	0
Frame ¹	104 ----------------------
Object's on frame in myPersons:	0
Frame ¹	105 ----------------------
Object's on frame in myPersons:	0
Frame ¹	106 ----------------------
Object's on frame in myPersons:	0
Frame ¹	107 ----------------------
Object's on frame in myPersons:	0
Frame ¹	108 ----------------------
Object's on frame in myPersons:	0
Frame ¹	109 ----------------------
Object's on frame in myPersons:	0
Frame ¹	110 ----------------------
Object's on frame in myPersons:	0
Frame ¹	111 ----------------------
Object's on frame in myPersons:	0
Frame ¹	112 ----------------------
Object's on frame in myPersons:	0
Frame ¹	113 ----------------------
Object's on frame in myPersons:	0
Frame ¹	114 ----------------------
Object's on frame in myPersons:	0
Frame ¹	115 ----------------------
Object's on frame in myPersons:	0
Frame ¹	116 ----------------------
Object's on frame in myPersons:	0
Frame ¹	117 ----------------------
Object's on frame in myPersons:	0
Frame ¹	118 ----------------------
Object's on frame in myPersons:	0
Frame ¹	119 ----------------------
Object's on frame in myPersons:	0
Frame ¹	120 ----------------------
Object's on frame in myPersons:	0
Frame ¹	121 ----------------------
Object's on frame in myPersons:	0
Frame ¹	122 ----------------------
Object's on frame in myPersons:	0
Frame ¹	123 ----------------------
Object's on frame in myPersons:	0
Frame ¹	124 ----------------------
Object's on frame in myPersons:	0
Frame ¹	125 ----------------------
Object's on frame in myPersons:	0
Frame ¹	126 ----------------------
Object's on frame in myPersons:	0
Frame ¹	127 ----------------------
Object's on frame in myPersons:	0
Frame ¹	128 ----------------------
Object's on frame in myPersons:	0
Frame ¹	129 ----------------------
Object's on frame in myPersons:	0
Frame ¹	130 ----------------------
Object's on frame in myPersons:	0
Frame ¹	131 ----------------------
Object's on frame in myPersons:	0
Frame ¹	132 ----------------------
Object's on frame in myPersons:	0
Frame ¹	133 ----------------------
Object's on frame in myPersons:	0
Frame ¹	134 ----------------------
Object's on frame in myPersons:	0
Frame ¹	135 ----------------------
Object's on frame in myPersons:	0
Frame ¹	136 ----------------------
Object's on frame in myPersons:	0
Frame ¹	137 ----------------------
Object's on frame in myPersons:	0
Frame ¹	138 ----------------------
Object's on frame in myPersons:	0
Frame ¹	139 ----------------------
Object's on frame in myPersons:	0
Frame ¹	140 ----------------------
Object's on frame in myPersons:	0
Frame ¹	141 ----------------------
Object's on frame in myPersons:	0
Frame ¹	142 ----------------------
Object's on frame in myPersons:	0
Frame ¹	143 ----------------------
Object's on frame in myPersons:	0
Frame ¹	144 ----------------------
Object's on frame in myPersons:	0
Frame ¹	145 ----------------------
Object's on frame in myPersons:	0
Frame ¹	146 ----------------------
Object's on frame in myPersons:	0
Frame ¹	147 ----------------------
Object's on frame in myPersons:	0
Frame ¹	148 ----------------------
Object's on frame in myPersons:	0
Frame ¹	149 ----------------------
Object's on frame in myPersons:	0
Frame ¹	150 ----------------------
Object's on frame in myPersons:	0
Frame ¹	151 ----------------------
Object's on frame in myPersons:	0
Frame ¹	152 ----------------------
Object's on frame in myPersons:	0
Frame ¹	153 ----------------------
Object's on frame in myPersons:	0
Frame ¹	154 ----------------------
